Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),App message,
1.5439850000143052,2000,,0.410560105581688,-2.5692734329608284,13.220366007234766,53.12238863504151,0,702.2974209338172,0,0,0,0,,
1.574880000025034,2000,,0.41067600476008725,-2.5690694638418945,13.219611964799544,53.12436659691021,0,702.2835122869114,0,0,0,0,,
1.6047650000154972,2000,,0.41087368947485226,-2.5694207672846514,13.21901637286796,53.12256499252149,0,702.2280564048839,0,0,0,0,,
1.6551550000309945,2000,,0.41115735983787494,-2.5704549012144904,13.218155129805064,53.09468889295473,0,701.8138343558135,0,0,0,0,,
1.6997950000166893,2000,,0.411414486681162,-2.5714783967392543,13.21719803451623,53.08631091206817,0,701.6522842467049,0,0,0,0,,
1.748755000025034,2000,,0.4117148233096549,-2.572834067472805,13.216297005054637,53.07466698844354,0,701.4505623636385,0,0,0,0,,
1.8017150000333786,2000,,0.4121085626611519,-2.5742517142765395,13.215064871989966,53.085908627449626,0,701.5337263002787,0,0,0,0,,
1.8455400000214577,2000,,0.41210457745457396,-2.575701110893763,13.214008455338156,53.0812737557053,0,701.4164002280091,0,0,0,0,,
1.8914050000011922,2000,,0.4122021740228987,-2.5772856324118756,13.212665386474143,53.101617811318306,0,701.6139076213842,0,0,0,0,,
1.935925000011921,2000,,0.4122154789364122,-2.5777392694314805,13.2114834062688,53.107475082775466,0,701.6285258049218,0,0,0,0,,
1.972705000013113,2000,,0.4121134187857075,-2.576937767832486,13.210748466234294,53.10378753764009,0,701.5407797641107,0,0,0,0,,
2.0085550000071524,2000,,0.4119160772276871,-2.5755257074496902,13.209699428010259,53.10687166726752,0,701.525812286518,0,0,0,0,,
2.0424650000035762,2000,,0.4116537200964675,-2.5742086764222925,13.20903880698005,53.09549957668829,0,701.3405143844685,0,0,0,0,,
2.0800049999952317,2000,,0.41140395310677647,-2.5728681420042077,13.208320292102975,53.08687321801355,0,701.1884247697864,0,0,0,0,,
2.1386899999976157,2000,,0.4111951484242099,-2.570436985358777,13.20739333586554,53.074781426031,0,700.979514508682,0,0,0,0,,
2.181580000013113,2000,,0.41092638640514256,-2.5667921275357624,13.206728888448907,53.0455695133124,0,700.5584552956875,0,0,0,0,,
2.2407250000238417,2000,,0.4103917644006727,-2.5626568176127273,13.206166788473922,52.99887656637107,0,699.9120035372384,0,0,0,0,,
2.276795000016689,2000,,0.40996779176142706,-2.5601993856823553,13.205517597107153,52.98654991136004,0,699.7148172644615,0,0,0,0,,
2.319015000015497,2000,,0.409639451658928,-2.5587046083329708,13.204891675530071,52.97260499257432,0,699.4975106975872,0,0,0,0,,
2.3692800000309946,2000,,0.40924687844508667,-2.55791495022215,13.20368403913623,52.97362244669002,0,699.4469731945898,0,0,0,0,,
2.412330000013113,2000,,0.4089072884199648,-2.558366524662163,13.203057160592303,52.953274359039455,0,699.1451082029247,0,0,0,0,,
2.455080000013113,2000,,0.40867557026963663,-2.5596917440032163,13.202438031324023,52.93123464269031,0,698.8213452915902,0,0,0,0,,
2.4858400000333787,2000,,0.40857462847196535,-2.561038597621932,13.201862160502442,52.923831934321825,0,698.6931342025141,0,0,0,0,,
2.52194500002265,2000,,0.4084952809694652,-2.5622924006338588,13.201176852164298,52.91859652095572,0,698.5877514414628,0,0,0,0,,
2.5627000000178812,2000,,0.4084959928623929,-2.563095443707704,13.200403578002414,52.90986722658504,0,698.4316006494458,0,0,0,0,,
2.609835000008345,2000,,0.40836649786671664,-2.5642744254989838,13.199605434229083,52.89166322959527,0,698.1490853907802,0,0,0,0,,
2.662255000025034,2000,,0.40810810755826854,-2.565313410607728,13.198768079129568,52.88182667522234,0,697.9749658869871,0,0,0,0,,
2.713275000035763,2000,,0.407986934851171,-2.56609309587609,13.19743489103772,52.89654315287055,0,698.0986842209761,0,0,0,0,,
2.7617500000298025,2000,,0.4077258286171914,-2.5669338879239527,13.196140898003872,52.91270173224026,0,698.243467352696,0,0,0,0,,
2.818110000014305,2000,,0.4075456462046383,-2.5671771248332576,13.194982707473773,52.916994374095324,0,698.2388256976748,0,0,0,0,,
2.863330000013113,2000,,0.40723564301202686,-2.567434129249535,13.193654359233966,52.932025906798046,0,698.3668543483112,0,0,0,0,,
2.9157600000202657,2000,,0.40715403650807647,-2.568271958277866,13.192374828871687,52.94711568342392,0,698.498196203359,0,0,0,0,,
2.973285000026226,2000,,0.407243988819874,-2.5692243955790426,13.190975838675547,52.965952217064,0,698.6725959677348,0,0,0,0,,
3.0026850000321863,2000,,0.4074188860498328,-2.5697944569552744,13.189929745032108,52.98489380725822,0,698.8670268657227,0,0,0,0,,
3.050270000010729,2000,,0.4076394228887942,-2.5703094428447497,13.188662303723568,53.000552707999546,0,699.0063915765077,0,0,0,0,,
3.1066200000047686,2000,,0.4078751745450895,-2.5701311909453803,13.187711908335011,52.97938688346588,0,698.6768912993706,0,0,0,0,,
3.1649950000047684,2000,,0.4081840471518142,-2.570186472542641,13.186763494200882,52.96860095597872,0,698.4844134251941,0,0,0,0,,
3.2162150000035763,2000,,0.4084685840262491,-2.5713933164538307,13.185321425781867,52.98849848736769,0,698.6703844254993,0,0,0,0,,
3.2671800000071527,2000,,0.40894234908805005,-2.5739224447857203,13.184090771110633,53.00827285585837,0,698.8658809514366,0,0,0,0,,
3.330940000027418,2000,,0.40948776862327163,-2.575806818551362,13.182506136436537,53.036345462531045,0,699.1519495139836,0,0,0,0,,
3.366830000013113,2000,,0.4094934694326391,-2.574730715234251,13.18154157839557,53.04461388627516,0,699.2097834518751,0,0,0,0,,
3.408495000034571,2000,,0.4094415322861449,-2.5734986226680556,13.1803992810434,53.059098967397304,0,699.340109882694,0,0,0,0,,
3.4558950000107287,2000,,0.40922579495574307,-2.5713463769266616,13.179527814017678,53.053245842137244,0,699.2167292003655,0,0,0,0,,
3.49344500002265,2000,,0.40904932592240817,-2.5694946549077646,13.17904332582805,53.032801250181066,0,698.9215853661643,0,0,0,0,,
3.5276350000202656,2000,,0.40879246984991346,-2.567749215102758,13.178611488853981,53.00701611726514,0,698.5588715928585,0,0,0,0,,
3.5610349999964237,2000,,0.4085858759924922,-2.5663334651126175,13.177927875583926,53.00679438124537,0,698.5197132719588,0,0,0,0,,
3.614905000001192,2000,,0.4081863091204653,-2.5643247260473228,13.177253190328043,52.97841719333253,0,698.1100169793712,0,0,0,0,,
3.6670400000214576,2000,,0.40784070626012825,-2.5623831310313485,13.176630947825474,52.956507864327214,0,697.788360413857,0,0,0,0,,
3.7146650000214576,2000,,0.4075683206169086,-2.5619775697361806,13.175984096352169,52.93609743456324,0,697.485177920754,0,0,0,0,,
3.766170000016689,2000,,0.4072265266995795,-2.5631202679102216,13.1749052971085,52.94085763714667,0,697.4907857171107,0,0,0,0,,
3.8099200000166893,2000,,0.4069065331480116,-2.5641498993503555,13.17402594240712,52.94012460408604,0,697.434574928495,0,0,0,0,,
3.8559149999916555,2000,,0.4067181419891912,-2.564469721610229,13.173024160111913,52.954442793566265,0,697.5701543049126,0,0,0,0,,
