freq,Ang_0,Ang_45,Ang_90,Ang_135,Ang_180,Ang_225,Ang_270,Ang_315,Ang_360
4.73E+09,0.001748132,0.000329906,0.000916131,0.000147429,0.001284301,0.00025686,0.000978645,0.000294798,0.0009166
4.74E+09,0.001741215,0.000329019,0.000912645,0.000140285,0.001292567,0.000276535,0.000994964,0.000302468,0.000912932
4.74E+09,0.001733643,0.00032798,0.000908169,0.000133139,0.0012993,0.000295618,0.001007081,0.000310933,0.000909602
4.75E+09,0.00172559,0.000326888,0.000902625,0.000126015,0.00130444,0.000314009,0.001014901,0.000320163,0.000906751
4.76E+09,0.00171722,0.000325816,0.000895941,0.000118977,0.001307938,0.000331611,0.001018406,0.000330115,0.000904506
4.77E+09,0.001708688,0.000324814,0.000888047,0.000112139,0.001309756,0.000348335,0.001017659,0.000340735,0.000902979
4.78E+09,0.001700136,0.000323903,0.000878885,0.000105669,0.001309872,0.000364097,0.001012795,0.00035194,0.000902263
4.78E+09,0.001691688,0.000323083,0.000868404,9.98E-05,0.001308282,0.000378822,0.001004027,0.000363618,0.000902429
4.79E+09,0.001683441,0.000322333,0.000856559,9.46E-05,0.001305003,0.00039245,0.000991636,0.000375622,0.000903519
4.80E+09,0.001675473,0.000321617,0.000843314,9.03E-05,0.001300071,0.000404938,0.000975959,0.000387764,0.000905554
4.81E+09,0.00166784,0.00032089,0.000828644,8.69E-05,0.001293541,0.000416253,0.000957387,0.000399823,0.000908529
4.82E+09,0.001660581,0.000320109,0.000812538,8.43E-05,0.001285481,0.000426378,0.000936352,0.000411546,0.000912421
4.82E+09,0.001653716,0.000319243,0.000795007,8.25E-05,0.001275973,0.000435299,0.000913323,0.000422656,0.000917188
4.83E+09,0.001647251,0.000318285,0.000776085,8.14E-05,0.001265115,0.000443005,0.000888794,0.000432867,0.000922771
4.84E+09,0.001641177,0.000317261,0.000755831,8.10E-05,0.001253014,0.000449489,0.000863275,0.000441895,0.000929095
4.85E+09,0.001635468,0.000316232,0.000734336,8.11E-05,0.001239798,0.000454738,0.000837277,0.000449471,0.000936069
4.86E+09,0.001630088,0.000315298,0.000711721,8.19E-05,0.001225606,0.000458741,0.000811299,0.000455361,0.000943585
4.86E+09,0.001624985,0.000314587,0.000688134,8.31E-05,0.001210595,0.000461484,0.000785804,0.000459373,0.000951521
4.87E+09,0.001620094,0.000314247,0.000663745,8.49E-05,0.001194937,0.000462952,0.000761203,0.000461373,0.000959739
4.88E+09,0.001615339,0.000314428,0.000638742,8.70E-05,0.001178813,0.000463132,0.000737836,0.000461287,0.00096809
4.89E+09,0.001610638,0.000315274,0.000613321,8.94E-05,0.001162413,0.000462011,0.000715964,0.000459115,0.000976418
4.90E+09,0.001605904,0.00031691,0.000587684,9.19E-05,0.001145927,0.000459576,0.000695771,0.000454931,0.000984563
4.90E+09,0.001601053,0.000319432,0.000562037,9.39E-05,0.001129542,0.000455819,0.000677364,0.000448891,0.000992366
4.91E+09,0.001596011,0.00032291,0.00053659,9.51E-05,0.001113436,0.000450731,0.000660785,0.000441234,0.000999679
4.92E+09,0.001590714,0.000327384,0.000511559,9.50E-05,0.001097769,0.000444299,0.000646022,0.000432288,0.001006372
4.93E+09,0.001585117,0.000332858,0.00048717,9.32E-05,0.00108269,0.000436504,0.000633022,0.000422451,0.001012331
4.94E+09,0.001579184,0.000339305,0.000463659,8.93E-05,0.00106833,0.000427326,0.000621694,0.00041217,0.001017461
4.94E+09,0.001572893,0.000346652,0.000441269,8.34E-05,0.001054809,0.000416745,0.000611917,0.000401912,0.001021688
4.95E+09,0.001566236,0.000354777,0.000420251,7.72E-05,0.001042231,0.000404746,0.000603547,0.000392129,0.001024957
4.96E+09,0.001559218,0.000363499,0.00040086,7.27E-05,0.001030685,0.000391328,0.000596424,0.000383229,0.001027235
4.97E+09,0.001551854,0.00037257,0.000383348,7.00E-05,0.001020242,0.000376504,0.000590378,0.000375556,0.001028509
4.98E+09,0.001544176,0.00038167,0.000367948,6.88E-05,0.001010957,0.000360306,0.000585236,0.000369387,0.001028792
4.98E+09,0.001536234,0.000390418,0.000354861,6.86E-05,0.001002864,0.000342791,0.000580838,0.000364938,0.001028117
4.99E+09,0.001528098,0.000398381,0.000344243,6.95E-05,0.000995972,0.000324041,0.000577054,0.000362378,0.001026549
5.00E+09,0.001519854,0.0004051,0.000336201,7.13E-05,0.000990272,0.00030417,0.000573792,0.000361846,0.001024174
5.01E+09,0.001511609,0.00041012,0.000330798,7.40E-05,0.000985736,0.000283337,0.000571014,0.000363461,0.0010211
5.02E+09,0.001503477,0.000413015,0.000328068,7.79E-05,0.000982323,0.000261776,0.00056873,0.000367329,0.001017449
5.02E+09,0.001495583,0.000413416,0.000328025,8.30E-05,0.000979982,0.000239848,0.000566997,0.000373542,0.001013352
5.03E+09,0.001488053,0.000411029,0.000330681,8.98E-05,0.000978658,0.000218123,0.000565908,0.000382178,0.001008943
5.04E+09,0.001481014,0.000405652,0.000336051,9.87E-05,0.000978293,0.000197433,0.00056558,0.00039328,0.00100435
5.05E+09,0.00147459,0.000397185,0.000344151,0.00011061,0.00097883,0.000178749,0.000566133,0.000406851,0.000999692
5.06E+09,0.001468896,0.000385639,0.000354992,0.000126814,0.000980214,0.000162791,0.000567689,0.000422833,0.000995079
5.06E+09,0.001464048,0.000371158,0.000368567,0.000148998,0.000982392,0.000149746,0.000570355,0.000441107,0.000990605
5.07E+09,0.001460151,0.000354036,0.000384831,0.000176592,0.000985315,0.000139396,0.000574223,0.000461494,0.00098635
5.08E+09,0.001457304,0.000334759,0.000403668,0.000205537,0.000988942,0.00013138,0.00057936,0.000483761,0.000982375
5.09E+09,0.001455595,0.000314047,0.000424873,0.000233833,0.000993238,0.000125352,0.000585803,0.000507645,0.000978724
5.10E+09,0.001455098,0.000292874,0.000448122,0.000260999,0.00099818,0.00012104,0.000593558,0.000532857,0.000975419
5.10E+09,0.001455872,0.000272372,0.000472977,0.000286852,0.001003755,0.000118253,0.00060259,0.000559101,0.00097246
5.11E+09,0.001457953,0.000253584,0.000498901,0.000311258,0.001009968,0.000116874,0.000612821,0.000586071,0.000969826
5.12E+09,0.001461357,0.000237188,0.000525284,0.000334093,0.001016839,0.000116853,0.000624122,0.000613456,0.000967472
5.13E+09,0.001466075,0.00022343,0.000551486,0.000355247,0.001024404,0.000118196,0.000636308,0.000640932,0.000965331
5.14E+09,0.001472077,0.000212253,0.000576866,0.000374627,0.001032712,0.000120952,0.000649144,0.000668166,0.000963318
5.14E+09,0.001479309,0.00020347,0.000600809,0.000392153,0.001041821,0.000125177,0.000662341,0.000694809,0.000961332
5.15E+09,0.001487699,0.000196868,0.000622741,0.000407768,0.001051795,0.000130848,0.000675571,0.000720502,0.000959262
5.16E+09,0.001497154,0.000192273,0.000642141,0.00042143,0.001062701,0.000137717,0.000688475,0.000744873,0.000956993
5.17E+09,0.001507567,0.000189564,0.000658546,0.00043312,0.001074605,0.000145174,0.000700682,0.000767543,0.000954409
5.18E+09,0.001518815,0.000188681,0.000671555,0.000442832,0.001087565,0.000152373,0.000711826,0.000788135,0.000951401
5.18E+09,0.001530766,0.00018962,0.000680838,0.000450582,0.001101632,0.000158562,0.000721559,0.000806281,0.000947873
5.19E+09,0.001543269,0.000192417,0.000686131,0.000456401,0.001116848,0.000163269,0.00072957,0.000821622,0.000943739
5.20E+09,0.001556163,0.000197112,0.000687241,0.000460342,0.001133243,0.000166275,0.000735587,0.000833826,0.000938926
5.21E+09,0.001569277,0.000203684,0.000684039,0.000462468,0.001150833,0.000167541,0.000739389,0.000842588,0.00093338
5.22E+09,0.00158243,0.000211947,0.000676459,0.000462857,0.001169622,0.000167156,0.000740805,0.00084764,0.000927061
5.22E+09,0.001595437,0.000221464,0.000664494,0.000461592,0.001189594,0.000165316,0.000739717,0.000848758,0.000919948
5.23E+09,0.001608118,0.000231583,0.00064819,0.000458759,0.001210709,0.000162316,0.00073606,0.000845772,0.000912044
5.24E+09,0.001620296,0.00024163,0.000627642,0.000454438,0.001232903,0.000158542,0.000729825,0.000838575,0.000903372
5.25E+09,0.001631808,0.00025111,0.000602995,0.000448706,0.001256082,0.000154431,0.000721062,0.000827127,0.000893981
5.26E+09,0.001642506,0.000259764,0.000574436,0.00044163,0.001280125,0.000150413,0.000709877,0.000811461,0.000883943
5.26E+09,0.001652255,0.000267532,0.000542191,0.000433272,0.00130488,0.000146845,0.000696434,0.000791682,0.000873349
5.27E+09,0.001660939,0.000274475,0.000506508,0.000423685,0.001330175,0.000143985,0.000680948,0.000767969,0.000862308
5.28E+09,0.00166846,0.000280717,0.000467645,0.000412915,0.00135581,0.000141993,0.000663685,0.000740577,0.000850941
5.29E+09,0.001674742,0.000286402,0.000425852,0.000401003,0.001381571,0.000140965,0.000644958,0.000709828,0.000839379
5.30E+09,0.001679725,0.000291663,0.000381339,0.000387986,0.001407227,0.000140959,0.000625113,0.000676116,0.000827758
5.30E+09,0.00168337,0.000296608,0.000334295,0.000373896,0.001432539,0.000142021,0.000604518,0.000639899,0.000816214
5.31E+09,0.001685659,0.000301306,0.00028533,0.000358764,0.001457264,0.000144202,0.000583555,0.000601701,0.000804882
5.32E+09,0.001686602,0.000305782,0.000238874,0.000342617,0.00148115,0.000147564,0.000562603,0.000562117,0.000793901
5.33E+09,0.001686229,0.000310015,0.000203781,0.000325476,0.001503947,0.000152174,0.000542031,0.000521812,0.000783404
5.34E+09,0.001684595,0.000313931,0.000179122,0.000307366,0.001525407,0.000158102,0.000522177,0.000481535,0.000773526
5.34E+09,0.001681773,0.000317405,0.000161403,0.000288315,0.001545293,0.000165394,0.000503344,0.000442108,0.000764394
5.35E+09,0.001677849,0.000320256,0.000148428,0.000268359,0.00156338,0.000174034,0.000485781,0.000404406,0.000756127
5.36E+09,0.00167292,0.000322257,0.000138913,0.000247554,0.001579465,0.000183909,0.000469679,0.000369287,0.000748834
5.37E+09,0.001667088,0.000323138,0.000132086,0.000225991,0.00159337,0.000194778,0.000455168,0.000337482,0.000742607
5.38E+09,0.001660456,0.0003226,0.000127486,0.000203836,0.001604947,0.00020629,0.000442321,0.00030947,0.000737524
5.38E+09,0.001653125,0.000320337,0.000124863,0.000181429,0.001614075,0.00021804,0.000431163,0.000285435,0.000733648
5.39E+09,0.00164519,0.000316057,0.000124129,0.000159528,0.00162067,0.00022964,0.000421676,0.000265303,0.000731021
5.40E+09,0.001636735,0.000309517,0.000125356,0.000139548,0.00162468,0.000240764,0.000413812,0.000248845,0.00072967
5.41E+09,0.001627834,0.000300555,0.000128805,0.000122892,0.001626089,0.00025117,0.000407496,0.000235772,0.000729604
5.42E+09,0.001618545,0.000289149,0.000135015,0.000109788,0.001624912,0.000260697,0.000402638,0.000225809,0.000730813
5.42E+09,0.001608913,0.000275508,0.000144983,9.96E-05,0.001621197,0.000269245,0.00039914,0.000218726,0.000733276
5.43E+09,0.00159897,0.000260219,0.000160325,9.18E-05,0.00161502,0.00027677,0.000396903,0.000214354,0.000736954
5.44E+09,0.001588725,0.00024438,0.000181191,8.57E-05,0.001606486,0.000283267,0.000395829,0.000212587,0.000741789
5.45E+09,0.001578173,0.000229455,0.000201407,8.10E-05,0.001595732,0.000288773,0.000395831,0.000213368,0.000747707
5.46E+09,0.001567285,0.000216688,0.000217727,7.73E-05,0.001582924,0.000293359,0.000396842,0.000216672,0.000754611
5.46E+09,0.001556018,0.000206656,0.000230025,7.46E-05,0.001568251,0.000297123,0.000398817,0.000222465,0.000762388
5.47E+09,0.00154431,0.000199396,0.000238506,7.26E-05,0.001551926,0.000300188,0.000401748,0.000230658,0.000770905
5.48E+09,0.00153209,0.000194732,0.000243332,7.13E-05,0.001534178,0.000302695,0.000405666,0.000241054,0.000780014
5.49E+09,0.001519277,0.00019248,0.000244609,7.06E-05,0.001515249,0.000304795,0.000410641,0.000253322,0.000789557
5.50E+09,0.001505787,0.000192531,0.000242408,7.04E-05,0.00149539,0.000306643,0.000416782,0.000267029,0.000799366
5.50E+09,0.001491534,0.000194875,0.000236783,7.04E-05,0.001474853,0.000308393,0.000424223,0.0002817,0.000809266
5.51E+09,0.001476439,0.000199617,0.000227801,7.03E-05,0.001453894,0.000310195,0.000433121,0.000296887,0.000819081
5.52E+09,0.001460426,0.000206983,0.000215617,6.86E-05,0.001432763,0.000312189,0.000443641,0.000312194,0.000828639
5.53E+09,0.001443435,0.000217334,0.000200709,6.20E-05,0.001411704,0.000314504,0.000455957,0.000327283,0.000837769
5.54E+09,0.001425413,0.000231166,0.000184454,5.68E-05,0.001390954,0.000317256,0.000470235,0.000341854,0.00084631
5.54E+09,0.001406324,0.00024907,0.000169464,5.52E-05,0.001370737,0.000320545,0.000486632,0.00035564,0.000854109
5.55E+09,0.001386144,0.000271554,0.000157726,5.50E-05,0.001351265,0.00032446,0.000505284,0.000368401,0.000861027
5.56E+09,0.001364867,0.000298651,0.000149412,5.57E-05,0.00133273,0.000329068,0.000526296,0.000379922,0.000866939
5.57E+09,0.001342507,0.00032952,0.000144005,5.72E-05,0.0013153,0.00033442,0.000549733,0.000390021,0.00087174
5.58E+09,0.001319096,0.000362636,0.000141023,5.95E-05,0.001299119,0.000340542,0.000575606,0.000398555,0.00087535
5.58E+09,0.001294685,0.000396521,0.000140149,6.26E-05,0.001284301,0.000347437,0.000603855,0.00040543,0.000877713
5.59E+09,0.001269344,0.000430156,0.000141232,6.66E-05,0.00127093,0.000355086,0.000634335,0.000410605,0.000878795
5.60E+09,0.001243157,0.000462944,0.000144255,7.17E-05,0.001259061,0.000363443,0.000666811,0.0004141,0.000878591
5.61E+09,0.001216225,0.000494543,0.000149341,7.82E-05,0.001248718,0.000372439,0.000700955,0.000415998,0.000877117
5.62E+09,0.001188657,0.000524758,0.00015676,8.66E-05,0.001239896,0.000381984,0.00073635,0.000416438,0.000874412
5.62E+09,0.001160571,0.000553466,0.00016697,9.77E-05,0.001232565,0.000391965,0.000772512,0.000415608,0.000870532
5.63E+09,0.001132082,0.000580584,0.00018068,0.000112947,0.001226665,0.000402248,0.000808903,0.000413729,0.000865552
5.64E+09,0.001103308,0.000606044,0.000198916,0.000135397,0.001222113,0.000412681,0.000844957,0.000411044,0.000859556
5.65E+09,0.001074357,0.000629778,0.000222947,0.000175798,0.001218798,0.000423097,0.0008801,0.000407795,0.000852638
5.66E+09,0.001045331,0.000651715,0.000253462,0.000223421,0.001216586,0.000433313,0.00091377,0.000404209,0.000844898
5.66E+09,0.001016318,0.000671768,0.000288707,0.000266205,0.001215317,0.000443136,0.000945431,0.000400482,0.000836439
5.67E+09,0.000987396,0.000689838,0.000325196,0.000307131,0.001214811,0.000452367,0.000974591,0.000396775,0.000827365
5.68E+09,0.00095863,0.000705809,0.000360614,0.000346765,0.001214872,0.000460809,0.001000808,0.000393203,0.000817777
5.69E+09,0.000930069,0.000719547,0.000393911,0.000385153,0.001215291,0.00046827,0.001023699,0.000389834,0.000807771
5.70E+09,0.000901746,0.000730904,0.000424549,0.000422162,0.001215852,0.000474572,0.001042943,0.000386688,0.000797433
5.70E+09,0.00087368,0.000739719,0.000452179,0.000457587,0.00121634,0.000479551,0.001058286,0.000383737,0.00078684
5.71E+09,0.000845874,0.000745819,0.000476533,0.000491192,0.001216541,0.000483067,0.001069543,0.000380904,0.000776055
5.72E+09,0.000818317,0.000749027,0.000497386,0.000522738,0.00121625,0.000485003,0.001076595,0.000378066,0.000765129
5.73E+09,0.000790986,0.000749164,0.000514553,0.000551991,0.001215275,0.000485269,0.001079395,0.000375051,0.000754099
5.74E+09,0.000763846,0.000746055,0.000527881,0.00057873,0.001213439,0.000483804,0.001077962,0.000371641,0.000742994
5.74E+09,0.00073686,0.000739538,0.000537253,0.000602744,0.001210583,0.000480582,0.001072383,0.000367585,0.000731835
5.75E+09,0.000709991,0.000729466,0.00054259,0.000623846,0.001206569,0.000475613,0.001062813,0.000362598,0.000720639
5.76E+09,0.000683203,0.000715717,0.000543852,0.000641868,0.001201288,0.00046895,0.001049472,0.000356382,0.000709419
5.77E+09,0.000656469,0.000698197,0.000541038,0.000656665,0.001194655,0.00046069,0.00103264,0.000348636,0.000698191
5.78E+09,0.000629773,0.00067684,0.000534189,0.000668119,0.001186619,0.000450979,0.001012651,0.000339074,0.000686971
5.78E+09,0.000603111,0.00065161,0.000523386,0.000676142,0.001177158,0.000440011,0.000989884,0.00032744,0.000675782
